"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  11월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상인원수,금액,결제방법,비목
119,재단 담당 주무관,2022.11.25.12:11:26,손국수집,출연기관 인사 조직 사전협의 등 업무추진,5,"100,000",신용카드,시책
120,재단 담당 주무관,2022.11.25.12:15:22,소마,출연기관 인사 조직 사전협의 등 업무추진,5,"36,500",신용카드,시책
121,전시예산 담당 주무관,2022.11.25.14:57:47,한화비앤비,충무계획 수립 관련 업무추진,5,"35,500",신용카드,시책
122,기획예산과장,2022.11.25.15:12:43,시카고피자,시비보조금 확보 관련 업무추진,15,"140,000",신용카드,시책
123,기획예산과장,2022.11.25.17:07:12,나폴레옹,대외재정 확보 관련 업무추진,21,"420,000",신용카드,시책
124,기획예산과장,2022.11.25.19:17:32,흑도담,국시비 보조금 확보 관련 업무추진,16,"309,000",신용카드,시책
125,공공시설 담당 주무관,2022.11.28.12:12:26,왕쓰브,공공시설 전산시스템 자문회의 관련 업무추진,5,"64,000",신용카드,시책
126,평가 담당 주무관,2022.11.28.12:15:05,옛날불고기,외부평가 우수사업 발굴 관련 업무추진,6,"90,000",제로페이,시책
127,미래성북 담당 주무관,2022.11.28.12:18:16,카페진,신규정책 검토 관련 업무추진,5,"15,000",신용카드,시책
128,평가 담당 주무관,2022.11.28.12:19:05,레인커피,외부평가 우수사업 발굴 관련 업무추진,6,"27,500",제로페이,시책
129,동북4구 담당 주무관,2022.11.28.12:29:55,삼홍,동북4구 협의회 운영 관련 업무추진,15,"286,000",신용카드,시책
130,법제담당 주무관,2022.11.28.14:02:54,델리성북,법률자문업무 관련 업무추진,8,"90,000",제로페이,시책
131,예산 총괄 담당 주무관,2022.11.28.19:12:43,김가네김밥,2023년 본예산 편성 관련 업무추진,12,"52,000",신용카드,시책
132,기획팀장,2022.11.29.11:51:24,낙지사랑,2023 신규과제 구축 관련 업무추진,6,"48,000",신용카드,시책
